ts_code,trade_date,close,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_share,float_share,free_share,total_mv,circ_mv
000027.SZ,20210415,9.4,2.6705,10.1906,0.62,26.2868,11.2246,1.178,2.1482,2.1863,0.4433,0.4433,475738.9916,475738.9916,124668.8147,4471946.521,4471946.521
000027.SZ,20210414,9.82,2.7163,10.3655,0.56,27.4613,12.0292,1.7095,2.2442,2.3671,0.4243,0.4243,475738.9916,475738.9916,124668.8147,4671756.8975,4671756.8975
000027.SZ,20210413,10.01,4.4201,16.8671,0.89,27.9926,12.262,1.7425,2.2876,2.4129,0.4163,0.4163,475738.9916,475738.9916,124668.8147,4762147.3059,4762147.3059
000027.SZ,20210412,11.11,5.7474,21.9321,1.2,31.0687,13.6094,1.934,2.539,2.6781,0.375,0.375,475738.9916,475738.9916,124668.8147,5285460.1967,5285460.1967
000027.SZ,20210409,10.44,4.0315,15.3844,0.81,29.1951,12.7887,1.8174,2.3859,2.5165,0.3991,0.3991,475738.9916,475738.9916,124668.8147,4966715.0723,4966715.0723
000027.SZ,20210408,10.14,4.4839,17.1106,0.83,28.3561,12.4212,1.7652,2.3173,2.4442,0.4109,0.4109,475738.9916,475738.9916,124668.8147,4823993.3748,4823993.3748
000027.SZ,20210407,10.95,5.5875,21.3221,0.91,30.6213,13.4134,1.9062,2.5024,2.6395,0.3805,0.3805,475738.9916,475738.9916,124668.8147,5209341.958,5209341.958
000027.SZ,20210406,10.48,5.0262,19.1799,0.75,29.3069,12.8377,1.8244,2.395,2.5262,0.3976,0.3976,475738.9916,475738.9916,124668.8147,4985744.632,4985744.632
000027.SZ,20210402,10.15,4.8393,18.4669,0.71,28.3841,12.4334,1.7669,2.3196,2.4466,0.4105,0.4105,475738.9916,475738.9916,124668.8147,4828750.7647,4828750.7647
000027.SZ,20210401,10.69,4.9408,18.8541,0.66,29.8942,13.0949,1.8609,2.443,2.5768,0.3898,0.3898,475738.9916,475738.9916,124668.8147,5085649.8202,5085649.8202
